,logFC,AveExpr,t,P.Value,adj.P.Val,B,symbol
200651_at,-0.193361372,12.86896995,-3.375723582,0.001980587,0.014850328,-1.715815626,NA
213278_at,-0.193306309,7.449998216,-4.118253671,0.000259165,0.003073054,0.213832874,MTMR9
233091_at,-0.193116509,4.704258241,-3.142625567,0.003649542,0.023740479,-2.287658781,ATAD3B
210639_s_at,-0.193114359,7.465351718,-3.036187217,0.004797709,0.028994667,-2.541900298,ATG5
228473_at,-0.193093766,4.743203258,-3.139178799,0.003682224,0.023884165,-2.295962763,MSX1
237968_at,-0.193036824,3.074953614,-3.045594917,0.004683811,0.028450988,-2.519614737,ATL2
200971_s_at,-0.192968465,10.95276166,-3.898298833,0.000478689,0.004950314,-0.371813685,SERP1
213098_at,-0.192839701,6.123861128,-3.009355787,0.005137155,0.030496635,-2.605256891,CNOT9
226017_at,-0.192836483,9.357913134,-4.30570901,0.000152791,0.00205254,0.719965883,CMTM7
214727_at,-0.192794153,2.862106305,-3.009104312,0.005140442,0.030512827,-2.605849259,BRCA2
226373_at,-0.192742385,6.73457849,-3.783074262,0.000657984,0.006319208,-0.674425457,SFXN5
1560720_at,-0.192733865,5.948876553,-2.921675043,0.006411866,0.03590054,-2.810143403,MKNK1
206659_at,-0.192710391,4.129838306,-3.157923074,0.003507799,0.023037708,-2.250748038,NA
205416_s_at,-0.19260766,5.546449931,-3.012601359,0.005094917,0.030321608,-2.597609297,ATXN3
223271_s_at,-0.192382403,7.62765103,-3.75530284,0.00071015,0.006688621,-0.74688341,CTDSPL2
232128_s_at,-0.192270652,3.200813126,-2.995212917,0.005325111,0.031330079,-2.63852976,CLCN5
221512_at,-0.192240903,7.410262717,-3.031080348,0.004860633,0.029261737,-2.553982337,TMEM222
223625_at,-0.192082791,6.95158745,-3.118533408,0.003883894,0.024819065,-2.345604082,FAM126A
239878_at,-0.191975012,3.197793947,-2.940421045,0.0061165,0.034701635,-2.766621236,IPMK
213057_at,-0.191671351,5.98463891,-2.948563897,0.005992242,0.034159713,-2.747667778,ATPAF2
1563475_s_at,-0.191638639,3.099553054,-2.977250884,0.005573212,0.032417819,-2.680664416,ETFBKMT
241603_at,-0.191606723,4.626484592,-2.918955349,0.006455819,0.036065384,-2.816444681,ATP11A
222478_at,-0.19155795,8.928492736,-3.127385741,0.003796167,0.024415413,-2.324339447,VPS36
236054_at,-0.191081698,4.021959742,-2.889462072,0.006951054,0.038077235,-2.884564668,NA
210183_x_at,-0.191063466,11.57803819,-4.018672538,0.000342477,0.003819076,-0.052516744,PNN
200980_s_at,-0.190996324,8.357892128,-3.981795007,0.000379571,0.004146465,-0.150659529,PDHA1
213491_x_at,-0.19068036,10.32738692,-3.945594962,0.000419799,0.004470684,-0.246725488,RPN2
230676_s_at,-0.19059444,5.348157138,-3.093883683,0.004138455,0.025984158,-2.404652155,TMEM19
211326_x_at,-0.190558922,5.496410516,-2.898313515,0.006798789,0.037472157,-2.86416186,HFE
222884_at,-0.190514067,6.800398136,-3.569317314,0.001178804,0.009953839,-1.226903715,ZNF346
41657_at,-0.190481327,7.141958949,-3.709989872,0.000804024,0.007371568,-0.864689245,STK11
